|dates|Sacramento_California_UnitedStates.JHU_ConfirmedCases.data|Sacramento_California_UnitedStates.JHU_ConfirmedCases.missing|Sacramento_California_UnitedStates.NYT_ConfirmedCases.data|Sacramento_California_UnitedStates.NYT_ConfirmedCases.missing|Sacramento_California_UnitedStates.JHU_ConfirmedDeaths.data|Sacramento_California_UnitedStates.JHU_ConfirmedDeaths.missing|Sacramento_California_UnitedStates.JHU_ConfirmedRecoveries.data|Sacramento_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-24|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-26|1.0|0|3.0|0|0.0|0|0.0|100
0|2020-02-27|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-02-28|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-02-29|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-01|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-02|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-03|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-04|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-05|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-06|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-07|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-08|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-09|2.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-10|10.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-11|11.0|0|9.0|0|1.0|0|0.0|100
0|2020-03-12|17.0|0|16.0|0|1.0|0|0.0|100
0|2020-03-13|17.0|0|16.0|0|1.0|0|0.0|100
0|2020-03-14|29.0|0|28.0|0|0.0|0|0.0|100
0|2020-03-15|29.0|0|32.0|0|1.0|0|0.0|100
0|2020-03-16|33.0|0|32.0|0|2.0|0|0.0|100
0|2020-03-17|40.0|0|39.0|0|2.0|0|0.0|100
0|2020-03-18|40.0|0|39.0|0|2.0|0|0.0|100
0|2020-03-19|45.0|0|44.0|0|3.0|0|0.0|100
0|2020-03-20|53.0|0|52.0|0|3.0|0|0.0|100
0|2020-03-21|53.0|0|52.0|0|3.0|0|0.0|100
0|2020-03-22|53.0|0|52.0|0|3.0|0|0.0|100
0|2020-03-23|88.0|0|87.0|0|4.0|0|0.0|100
0|2020-03-24|88.0|0|87.0|0|4.0|0|0.0|100
0|2020-03-25|113.0|0|112.0|0|5.0|0|0.0|100
0|2020-03-26|113.0|0|112.0|0|5.0|0|0.0|100
0|2020-03-27|164.0|0|164.0|0|6.0|0|0.0|100
0|2020-03-28|164.0|0|164.0|0|6.0|0|0.0|100
0|2020-03-29|164.0|0|164.0|0|6.0|0|0.0|100
0|2020-03-30|224.0|0|224.0|0|7.0|0|0.0|100
0|2020-03-31|224.0|0|224.0|0|7.0|0|0.0|100
0|2020-04-01|224.0|0|314.0|0|7.0|0|0.0|100
0|2020-04-02|314.0|0|340.0|0|9.0|0|0.0|100
0|2020-04-03|390.0|0|389.0|0|10.0|0|0.0|100
0|2020-04-04|390.0|0|411.0|0|10.0|0|0.0|100
0|2020-04-05|442.0|0|441.0|0|16.0|0|0.0|100
0|2020-04-06|462.0|0|461.0|0|18.0|0|0.0|100
0|2020-04-07|525.0|0|524.0|0|21.0|0|0.0|100
0|2020-04-08|580.0|0|579.0|0|22.0|0|0.0|100
0|2020-04-09|580.0|0|612.0|0|33.0|0|0.0|100
0|2020-04-10|653.0|0|652.0|0|24.0|0|0.0|100
0|2020-04-11|653.0|0|699.0|0|24.0|0|0.0|100
0|2020-04-12|707.0|0|707.0|0|26.0|0|0.0|100
0|2020-04-13|739.0|0|739.0|0|27.0|0|0.0|100
0|2020-04-14|816.0|0|816.0|0|28.0|0|0.0|100
0|2020-04-15|853.0|0|853.0|0|32.0|0|0.0|100
0|2020-04-16|879.0|0|879.0|0|32.0|0|0.0|100
0|2020-04-17|896.0|0|896.0|0|32.0|0|0.0|100
0|2020-04-18|914.0|0|914.0|0|33.0|0|0.0|100
0|2020-04-19|925.0|0|925.0|0|34.0|0|0.0|100
0|2020-04-20|940.0|0|940.0|0|34.0|0|0.0|100
0|2020-04-21|954.0|0|954.0|0|35.0|0|0.0|100
0|2020-04-22|971.0|0|971.0|0|36.0|0|0.0|100
0|2020-04-23|987.0|0|987.0|0|41.0|0|0.0|100
0|2020-04-24|1019.0|0|1019.0|0|41.0|0|0.0|100
0|2020-04-25|1019.0|0|1025.0|0|41.0|0|0.0|100
0|2020-04-26|1037.0|0|1037.0|0|41.0|0|0.0|100
0|2020-04-27|1045.0|0|1045.0|0|41.0|0|0.0|100
0|2020-04-28|1053.0|0|1053.0|0|41.0|0|0.0|100
0|2020-04-29|1068.0|0|1068.0|0|42.0|0|0.0|100
0|2020-04-30|1077.0|0|1077.0|0|43.0|0|0.0|100
0|2020-05-01|1090.0|0|1090.0|0|42.0|0|0.0|100
0|2020-05-02|1107.0|0|1106.0|0|42.0|0|0.0|100
0|2020-05-03|1117.0|0|1116.0|0|42.0|0|0.0|100
0|2020-05-04|1127.0|0|1126.0|0|47.0|0|0.0|100
0|2020-05-05|1133.0|0|1132.0|0|47.0|0|0.0|100
0|2020-05-06|1142.0|0|1132.0|0|47.0|0|0.0|100
0|2020-05-07|1153.0|0|1132.0|0|49.0|0|0.0|100
0|2020-05-08|1160.0|0|1159.0|0|50.0|0|0.0|100
0|2020-05-09|1165.0|0|1164.0|0|50.0|0|0.0|100
0|2020-05-10|1167.0|0|1166.0|0|50.0|0|0.0|100
0|2020-05-11|1173.0|0|1172.0|0|50.0|0|0.0|100
0|2020-05-12|1181.0|0|1180.0|0|50.0|0|0.0|100
