|dates|SanJuan_NewMexico_UnitedStates.JHU_ConfirmedCases.data|SanJuan_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|SanJuan_NewMexico_UnitedStates.NYT_ConfirmedCases.data|SanJuan_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|SanJuan_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|SanJuan_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|SanJuan_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|SanJuan_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-23|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-24|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-25|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-26|8.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-27|14.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-28|18.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-29|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-30|22.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-31|32.0|0|32.0|0|0.0|0|0.0|100
0|2020-04-01|47.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-02|52.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-03|72.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-04|72.0|0|58.0|0|0.0|0|0.0|100
0|2020-04-05|84.0|0|58.0|0|0.0|0|0.0|100
0|2020-04-06|128.0|0|83.0|0|0.0|0|0.0|100
0|2020-04-07|156.0|0|107.0|0|0.0|0|0.0|100
0|2020-04-08|173.0|0|116.0|0|0.0|0|0.0|100
0|2020-04-09|116.0|0|126.0|0|0.0|0|0.0|100
0|2020-04-10|142.0|0|142.0|0|0.0|0|0.0|100
0|2020-04-11|142.0|0|149.0|0|0.0|0|0.0|100
0|2020-04-12|151.0|0|151.0|0|2.0|0|0.0|100
0|2020-04-13|151.0|0|173.0|0|2.0|0|0.0|100
0|2020-04-14|173.0|0|192.0|0|7.0|0|0.0|100
0|2020-04-15|200.0|0|200.0|0|10.0|0|0.0|100
0|2020-04-16|200.0|0|229.0|0|10.0|0|0.0|100
0|2020-04-17|229.0|0|243.0|0|13.0|0|0.0|100
0|2020-04-18|260.0|0|260.0|0|14.0|0|0.0|100
0|2020-04-19|275.0|0|275.0|0|15.0|0|0.0|100
0|2020-04-20|293.0|0|293.0|0|17.0|0|0.0|100
0|2020-04-21|293.0|0|314.0|0|17.0|0|0.0|100
0|2020-04-22|339.0|0|339.0|0|22.0|0|0.0|100
0|2020-04-23|390.0|0|390.0|0|24.0|0|0.0|100
0|2020-04-24|420.0|0|420.0|0|27.0|0|0.0|100
0|2020-04-25|435.0|0|435.0|0|33.0|0|0.0|100
0|2020-04-26|442.0|0|442.0|0|35.0|0|0.0|100
0|2020-04-27|463.0|0|463.0|0|35.0|0|0.0|100
0|2020-04-28|508.0|0|508.0|0|36.0|0|0.0|100
0|2020-04-29|576.0|0|576.0|0|38.0|0|0.0|100
0|2020-04-30|621.0|0|621.0|0|45.0|0|0.0|100
0|2020-05-01|637.0|0|637.0|0|49.0|0|0.0|100
0|2020-05-02|710.0|0|710.0|0|51.0|0|0.0|100
0|2020-05-03|736.0|0|736.0|0|57.0|0|0.0|100
0|2020-05-04|781.0|0|781.0|0|57.0|0|0.0|100
0|2020-05-05|806.0|0|806.0|0|62.0|0|0.0|100
0|2020-05-06|844.0|0|844.0|0|62.0|0|0.0|100
0|2020-05-07|921.0|0|921.0|0|62.0|0|0.0|100
0|2020-05-08|989.0|0|989.0|0|64.0|0|0.0|100
0|2020-05-09|1015.0|0|1015.0|0|69.0|0|0.0|100
0|2020-05-10|1034.0|0|1034.0|0|71.0|0|0.0|100
0|2020-05-11|1107.0|0|1107.0|0|71.0|0|0.0|100
0|2020-05-12|1149.0|0|1149.0|0|74.0|0|0.0|100
